#
#nB[fm^-3]                nB/n0                 E/A NS[MeV]           E/A HIC[MeV]       
  2.810000               18.733333              1899.441842            -573700.534303           
  2.820000               18.800000              1902.819767            -584250.726246           
  2.830000               18.866667              1906.194514            -594954.207567           
  2.840000               18.933333              1909.566144            -605812.631768           
  2.850000               19.000000              1912.934576            -616827.664267           
  2.860000               19.066667              1916.299776            -628000.982259           
  2.870000               19.133333              1919.661846            -639334.274659           
  2.880000               19.200000              1923.020789            -650829.242386           
  2.890000               19.266667              1926.376599            -662487.598309           
  2.900000               19.333333              1929.729196            -674311.067357           
  2.910000               19.400000              1933.078665            -686301.386323           
  2.920000               19.466667              1936.425015            -698460.304141           
  2.930000               19.533333              1939.768237            -710789.581876           
  2.940000               19.600000              1943.108347            -723290.992715           
  2.950000               19.666667              1946.445329            -735966.322073           
  2.960000               19.733333              1949.779157            -748817.367611           
  2.970000               19.800000              1953.109923            -761845.939142           
  2.980000               19.866667              1956.437632            -775053.858891           
  2.990000               19.933333              1959.762138            -788442.961586           
  3.000000               20.000000              1963.083678            -802015.093978           
  3.010000               20.066667              1966.402095            -815772.115652           
