#
#nB[fm^-3]                nB/n0                 E/A NS[MeV]           E/A HIC[MeV]       
  2.810000               18.733333              1872.698467            1805.248308           
  2.820000               18.800000              1876.022693            1808.582996           
  2.830000               18.866667              1879.343794            1811.915054           
  2.840000               18.933333              1882.661840            1815.244551           
  2.850000               19.000000              1885.976869            1818.571517           
  2.860000               19.066667              1889.288838            1821.895901           
  2.870000               19.133333              1892.597797            1825.217749           
  2.880000               19.200000              1895.903730            1828.537054           
  2.890000               19.266667              1899.206619            1831.853765           
  2.900000               19.333333              1902.506578            1835.167996           
  2.910000               19.400000              1905.803484            1838.479638           
  2.920000               19.466667              1909.097377            1841.788707           
  2.930000               19.533333              1912.388325            1845.095264           
  2.940000               19.600000              1915.676317            1848.399312           
  2.950000               19.666667              1918.961249            1851.700715           
  2.960000               19.733333              1922.243273            1854.999640           
  2.970000               19.800000              1925.522355            1858.296038           
  2.980000               19.866667              1928.798492            1861.589906           
  2.990000               19.933333              1932.071704            1864.881261           
  3.000000               20.000000              1935.341953            1868.170045           
  3.010000               20.066667              1938.609273            1871.456290           
  3.020000               20.133333              1941.873617            1874.739974           
  3.030000               20.200000              1945.135082            1878.021144           
